시도명,시군구명,어린이집코드,어린이집명,어린이집유형구분,운영현황,우편번호,상세주소,어린이집전화번호,어린이집팩스번호,홈페이지주소,보육실수,보육실 면적,놀이터수,CCTV설치수,보육교직원수,정원수,현원수,위도,경도,통학차량운영여부,인가일자,휴지시작일자,휴지종료일자,폐지일자,제공서비스,데이터기준일자
부산광역시,금정구,4878000188,BNK금정어린이집,직장,Y,46283,부산광역시 금정구 금강로 324 (장전동),051-513-2561,051-513-2562,www.puruni.com/busanbank3,4,242,2,11 ,15 ,63 ,41 ,37.566470,126.977963,미운영,2015-08-21,,,,일반,2020-05-25
부산광역시,금정구,3698001609,SK뷰 방울방울어린이집,민간,Y,46245,"부산광역시 금정구 금샘로246번길 18 (구서동, 구서SK뷰1단지아파트) 관리동",051-583-4110,051-583-4111,,4,115,0,5 ,11 ,43 ,36 ,35.245005,129.085823,운영,2017-08-31,,,,일반,2020-05-25
부산광역시,금정구,4078210175,공립구서어린이집,국공립,Y,46232,부산광역시 금정구 금강로 503 롯데캐슬골드 2단지내 (구서동),051-518-1437,051-517-2552,,5,319,1,8 ,20 ,141 ,139 ,35.251368,129.086456,운영,1982-10-04,,,,일반,2020-05-25
부산광역시,금정구,6218202723,공립부곡복지어린이집,국공립,Y,46304,"부산광역시 금정구 동현로 67 2차상가동내(부곡동, 부곡시영아파트)",051-515-2066,051-516-1963,,5,308,2,7 ,13 ,118 ,84 ,35.221963,129.096735,운영,1993-02-17,,,,일반,2020-05-25
부산광역시,금정구,8708001604,구서롯데어린이집,민간,Y,46233,"부산광역시 금정구 금강로 502 관리동(구서동,롯데캐슬골드1단지)",051-912-5158,051-936-5158,,6,278,1,9 ,18 ,91 ,86 ,35.250774,129.089527,운영,2018-04-06,,,,일반,2020-05-25
부산광역시,금정구,1548000691,그림동산어린이집,민간,Y,46219,부산광역시 금정구 팔송로7번길 8,051-581-0187,051-583-5159,,16,467,3,24 ,24 ,170 ,86 ,35.271820,129.091363,운영,2003-02-07,,,,일반,2020-05-25
부산광역시,금정구,6218005013,금샘어린이집,민간,Y,46221,부산광역시 금정구 팔송로59번길 14 (남산동),051-582-4846,051-582-5838,http://cafe.naver.com/geumsaem4846,15,332,2,8 ,6 ,100 ,17 ,35.271289,129.085850,운영,1989-03-02,,,,야간연장,2020-05-25
부산광역시,금정구,6218901500,금성 어린이집,국공립,Y,46237,부산광역시 금정구 산성로 435 (금성동),051-517-5604,051-518-5604,,5,206,1,7 ,11 ,81 ,42 ,35.251325,129.054773,운영,1975-04-30,,,,24시간,2020-05-25
부산광역시,금정구,6218303525,금정구청어린이집,직장,Y,46274,부산광역시 금정구 중앙대로 1777 금정구청내 금정구청어린이집,051-519-4327,051-519-4329,,5,346,2,8 ,10 ,59 ,58 ,35.242054,129.092456,미운영,2004-05-10,,,,일반,2020-05-25
부산광역시,금정구,6218026172,금정산 SK 어린이집,가정,Y,46296,부산광역시 금정구 식물원로 64 108동 102호,051-517-5932,051-517-5932,네이버카페 금정산sk어린이집,3,50,0,4 ,5 ,19 ,16 ,35.226747,129.080550,미운영,1998-07-14,,,,일반,2020-05-25
부산광역시,금정구,6218262395,금정아이들세상어린이집,협동,Y,46217,부산광역시 금정구 청룡로45번길 10-4 (남산동),051-515-6832,051-515-6832,http://cafe.daum.net/since1996-08-26,5,128,0,0 ,4 ,20 ,14 ,35.275124,129.087103,미운영,2006-03-10,,,,일반,2020-05-25
부산광역시,금정구,5368001117,금정힐스테이트어린이집,민간,Y,46280,부산광역시 금정구 금강로335번길 90 금정힐스테이트 관리동 1층 (장전동),051-517-7560,051-518-7560,,3,85,0,4 ,8 ,32 ,19 ,35.239203,129.081356,운영,2011-02-25,,,,일반,2020-05-25
부산광역시,금정구,6218004751,꼬마대통령어린이집,민간,Y,46305,부산광역시 금정구 동현로 50-4,051-514-5177,051-514-5177,,7,161,0,10 ,9 ,49 ,36 ,35.222481,129.094026,운영,2003-03-11,,,,일반,2020-05-25
부산광역시,금정구,6218005255,꽃잎 어린이집,민간,Y,46250,부산광역시 금정구 금단로 88 (구서동),051-514-9730,051-514-9731,,6,310,2,11 ,19 ,82 ,74 ,35.257172,129.094052,운영,2005-06-01,,,,일반,2020-05-25
부산광역시,금정구,6218002622,꾸미랑어린이집,민간,Y,46302,부산광역시 금정구 서부곡로15번길 34 (부곡동),051-516-7260,051-581-7260,,6,190,0,8 ,8 ,49 ,27 ,35.224793,129.089472,운영,1998-11-14,,,,일반,2020-05-25
부산광역시,금정구,6218004692,꿈동산어린이집,민간,Y,46245,부산광역시 금정구 금강로391번길 16 6통6반 (구서동),051-513-9511,051-515-9511,,4,96,0,4 ,6 ,31 ,17 ,35.243486,129.086043,운영,1993-10-22,,,,야간연장,2020-05-25
부산광역시,금정구,6218901062,꿈동이 어린이집,민간,Y,46217,부산광역시 금정구 팔송로 50 (남산동),051-514-7567,051-515-7057,osjjlove@hanmail.net,9,240,1,20 ,10 ,70 ,54 ,35.272260,129.087148,운영,1995-02-13,,,,야간연장,2020-05-25
부산광역시,금정구,6218210510,꿈사랑어린이집,사회복지법인,Y,46313,부산광역시 금정구 서금로25번길 10 (서동),051-526-9752,051-526-9763,ktp://cafe.naver.com/dreamlovechildren,8,253,0,10 ,22 ,41 ,41 ,35.218874,129.104427,운영,2006-08-31,,,,장애아전문,2020-05-25
부산광역시,금정구,6218008820,나무야어린이집,민간,Y,46231,부산광역시 금정구 금샘로386번길 5 (구서동),051-512-3188,070-8166-3185,,8,230,2,0 ,10 ,53 ,53 ,35.257746,129.085044,운영,2007-12-28,,,,일반,2020-05-25
부산광역시,금정구,6218014545,너랑나랑 어린이집,가정,Y,46296,부산광역시 금정구 식물원로 64 113-101,070-4095-6113,051-959-6113,,3,52,0,4 ,7 ,19 ,19 ,35.226851,129.082534,운영,2005-01-31,,,,일반,2020-05-25
